ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6,bgg_id,name,year,game_type,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_time,max_time,category,mechanic,family,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,sim_family
174430,Gloomhaven,2017,1,8.74,8.511,47555,/boardgame/174430/gloomhaven,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__micro/img/sQyh47ClBO3d5sxPm73hMvM-JV4=/fit-in/64x64/filters:strip_icc()/pic2437871.jpg,291457,295770,96848,255984,180263,162886,174430,Gloomhaven,2017.0,"Thematic,Strategy Game","Cephalofair Games,Albi,Albi Polska,Arclight Games,Feuerland Spiele,Galápagos Jogos,Games Warehouse,Gém Klub Kft.,Hobby World,Korea Boardgames Co., Ltd.,MYBG Co., Ltd.",1.0,4.0,1.0,4.0,3.0,3.0,14.0,60.0,120.0,"Adventure,Exploration,Fantasy,Fighting,Miniatures","Action Queue,Action Retrieval,Campaign / Battle Card Driven,Card Play Conflict Resolution,Communication Limits,Cooperative Game,Critical Hits and Failures,Deck Construction,Grid Movement,Hand Management,Hexagon Grid,Legacy Game,Line of Sight,Modular Board,Once-Per-Game Abilities,Role Playing,Scenario / Mission / Campaign Game,Simultaneous Action Selection,Solo / Solitaire Game,Tags,Variable Player Powers","Category: Dungeon Crawler,Components: Miniatures,Components: Multi-Use Cards,Components: Standees,Creatures: Demons,Creatures: Dragons,Creatures: Monsters,Crowdfunding: Kickstarter,Digital Implementations: Steam,Digital Implementations: TableTop Simulator Mod (TTS),Game: Gloomhaven,Mechanism: Campaign Games,Mechanism: Legacy,Misc: Forteller Audio Narration,Misc: Made by Panda,Players: Games with Solitaire Rules",3.0,58418.0,8.62311,1.75165,8.38865,3.8959,Category
161936,Pandemic Legacy: Season 1,2015,2,8.6,8.444,44877,/boardgame/161936/pandemic-legacy-season-1,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__micro/img/n6-sXYD6XXZoqIxq4P6AG7VPCuA=/fit-in/64x64/filters:strip_icc()/pic2452831.png,221107,314040,239188,224037,266507,198928,161936,Pandemic Legacy: Season 1,2015.0,"Thematic,Strategy Game","Z-Man Games,Asterion Press,Devir,Filosofia Éditions,Gém Klub Kft.,Hobby Japan,Jolly Thinkers,Korea Boardgames Co., Ltd.,Lacerta,Lifestyle Boardgames Ltd,MINDOK,Ігромаг",2.0,4.0,2.0,4.0,4.0,4.0,13.0,60.0,60.0,"Environmental,Medical","Action Points,Cooperative Game,Hand Management,Legacy Game,Point to Point Movement,Scenario / Mission / Campaign Game,Set Collection,Tags,Trading,Variable Player Powers","Components: Map (Global Scale),Components: Multi-Use Cards,Game: Pandemic,Mechanism: Campaign Games,Mechanism: Legacy,Medical: Diseases,Misc: Limited Replayability,Misc: Made by Panda,Occupation: Dispatcher,Occupation: Medic / Doctor / Nurses,Occupation: Researcher / Scientist,Region: The World,Theme: Science,Versions & Editions: Legacy Versions of Non-Legacy Games",2.0,50631.0,8.53562,1.6068,8.38972,2.8318,Components
224517,Brass: Birmingham,2018,3,8.67,8.417,25216,/boardgame/224517/brass-birmingham,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__micro/img/4Od3GYCiqptga0VbmyumPbJlBsU=/fit-in/64x64/filters:strip_icc()/pic3490053.jpg,220308,251247,167791,341169,125153,284378,224517,Brass: Birmingham,2018.0,Strategy Game,"Roxley,Arclight Games,BoardM Factory,CMON Global Limited,Conclave Editora,CrowD Games,Dexker Games,Funforge,Gém Klub Kft.,Ghenos Games,Giant Roc,Lanlalen,Lord of Boards,Maldito Games,PHALANX,Rebel Sp. z o.o.,TLAMA games,White Goblin Games",2.0,4.0,2.0,4.0,3.0,4.0,14.0,60.0,120.0,"Economic,Industry / Manufacturing,Post-Napoleonic,Trains,Transportation","Hand Management,Income,Loans,Market,Network and Route Building,Tags,Tech Trees / Tech Tracks,Turn Order: Stat-Based,Variable Set-up","Cities: Birmingham (England),Components: Multi-Use Cards,Country: England,Crowdfunding: Kickstarter,Crowdfunding: Spieleschmiede,Digital Implementations: Steam,Digital Implementations: Tabletopia,Food & Drink: Beer,Game: Brass,History: Industrial Revolution,Misc: Watch It Played How To Videos,Organizations: The Game Artisans of Canada,Theme: Canals",1.0,38651.0,8.61232,1.42368,8.4233,3.8955,Cities
167791,Terraforming Mars,2016,4,8.42,8.273,73742,/boardgame/167791/terraforming-mars,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__micro/img/LUkXZhd1TO80eCiXMD3-KfnzA6k=/fit-in/64x64/filters:strip_icc()/pic3536616.jpg,341169,169786,316554,224517,183394,193738,167791,Terraforming Mars,2016.0,Strategy Game,"FryxGames,Arclight Games,Brädspel.se,Fantasmagoria,Ghenos Games,Green Elephant Games,Intrafin Games,Kaissa Chess & Games,Kilogames,Korea Boardgames Co., Ltd.,Lautapelit.fi,Lavka Games,Lex Games,Maldito Games,MeepleBR,MINDOK,MIPL,MYBG Co., Ltd.,NeoTroy Games,Rebel Sp. z o.o.,Reflexshop,Schwerkraft-Verlag,Siam Board Games,Stronghold Games,SuperHeated Neurons,Surfin' Meeple China",1.0,5.0,1.0,4.0,3.0,3.0,12.0,120.0,120.0,"Economic,Environmental,Industry / Manufacturing,Science Fiction,Space Exploration,Territory Building","Closed Drafting,Contracts,Enclosure,End Game Bonuses,Hand Management,Hexagon Grid,Income,Set Collection,Solo / Solitaire Game,Tags,Take That,Tech Trees / Tech Tracks,Tile Placement,Turn Order: Progressive,Variable Player Powers,Variable Set-up,Victory Points as a Resource","Category: Dized Tutorial,Components: Map (Global Scale),Components: Multi-Use Cards,Digital Implementations: Google Play,Digital Implementations: Steam,Game: Terraforming Mars,Mechanism: Tableau Building,Players: Games with Solitaire Rules,Setting: Future Timeline (Fryxgames),Space: Earth's Solar System,Space: Jupiter,Space: Mars,Theme: Science",6.0,90101.0,8.37817,1.40613,8.23247,3.2566,Category
233078,Twilight Imperium: Fourth Edition,2017,5,8.68,8.26,15911,/boardgame/233078/twilight-imperium-fourth-edition,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__micro/img/2gymaKs35_2yj7eyyA6cYyVmd9c=/fit-in/64x64/filters:strip_icc()/pic3727516.jpg,246900,187645,205896,237182,283355,169786,233078,Twilight Imperium: Fourth Edition,2017.0,"Thematic,Strategy Game","Fantasy Flight Games,ADC Blackfire Entertainment,Arclight Games,Asmodee,Asterion Press,Edge Entertainment,Galakta,Galápagos Jogos,Hobby World,Playfun Games,sternenschimmermeer",3.0,6.0,3.0,6.0,6.0,6.0,14.0,240.0,480.0,"Civilization,Economic,Exploration,Negotiation,Political,Science Fiction,Space Exploration,Wargame","Action Drafting,Area Majority / Influence,Area-Impulse,Dice Rolling,Follow,Grid Movement,Hexagon Grid,Increase Value of Unchosen Resources,King of the Hill,Modular Board,Race,Tech Trees / Tech Tracks,Trading,Variable Phase Order,Variable Player Powers,Variable Set-up,Voting","Components: Hexagonal Tiles,Components: Map (Interplanetary or Interstellar scale),Components: Miniatures,Game: Twilight Imperium,Mechanism: 4X,Misc: Made by Panda",5.0,20922.0,8.61973,1.61439,8.24243,4.308,Components
291457,Gloomhaven: Jaws of the Lion,2020,6,8.69,8.254,15543,/boardgame/291457/gloomhaven-jaws-lion,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__micro/img/OdKjWiFsNvQAfJfXXSITttiozWE=/fit-in/64x64/filters:strip_icc()/pic5055631.jpg,174430,255984,162886,285192,269385,295770,291457,Gloomhaven: Jaws of the Lion,2020.0,"Thematic,Strategy Game","Cephalofair Games,Albi,Albi Polska,Arclight Games,Asmodee,Asmodee China,Asmodee Italia,Feuerland Spiele,Galápagos Jogos,Gém Klub Kft.,Hobby World,Korea Boardgames Co., Ltd.,Lord of Boards,Meanbook Games,Siam Board Games",1.0,4.0,1.0,4.0,2.0,2.0,14.0,30.0,120.0,"Adventure,Exploration,Fantasy,Fighting,Miniatures","Action Queue,Action Retrieval,Campaign / Battle Card Driven,Communication Limits,Cooperative Game,Critical Hits and Failures,Deck Construction,Grid Movement,Hand Management,Hexagon Grid,Legacy Game,Line of Sight,Once-Per-Game Abilities,Scenario / Mission / Campaign Game,Simultaneous Action Selection,Solo / Solitaire Game,Variable Player Powers","Category: Dungeon Crawler,Components: Book as Board,Components: Miniatures,Components: Multi-Use Cards,Components: Standees,Digital Implementations: Steam,Digital Implementations: TableTop Simulator Mod (TTS),Game: Gloomhaven,Mechanism: Campaign Games,Mechanism: Legacy,Misc: Forteller Audio Narration,Misc: Limited Replayability,Misc: Watch It Played How To Videos,Players: Games with Solitaire Rules",7.0,28919.0,8.50084,1.47161,8.20608,3.6321,Category
220308,Gaia Project,2017,7,8.48,8.177,19033,/boardgame/220308/gaia-project,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__micro/img/odWj2bEnZi9dEcQQrOtYj1e0QLE=/fit-in/64x64/filters:strip_icc()/pic5375625.png,251247,224517,193738,317985,120677,177736,220308,Gaia Project,2017.0,Strategy Game,"Feuerland Spiele,Capstone Games,Cranio Creations,DiceTree Games,Edge Entertainment,Game Harbor,Games Factory,Hobby World,Maldito Games,Mandala Jogos,Reflexshop,Super Meeple,TLAMA games,White Goblin Games,Z-Man Games,テンデイズゲームズ(TendaysGames)",1.0,4.0,1.0,4.0,3.0,4.0,12.0,60.0,150.0,"Civilization,Economic,Miniatures,Science Fiction,Space Exploration,Territory Building","End Game Bonuses,Hexagon Grid,Income,Modular Board,Network and Route Building,Solo / Solitaire Game,Tags,Tech Trees / Tech Tracks,Turn Order: Pass Order,Variable Player Powers,Variable Set-up,Victory Points as a Resource","Category: Combinatorial,Components: Control Boards,Components: Map (Interplanetary or Interstellar scale),Digital Implementations: Board Game Arena,Digital Implementations: Steam,Mechanism: Tableau Building,Misc: Made by Panda,Organizations: Automa Factory,Players: Games with Solitaire Rules,Game: Terra Mystica",12.0,24582.0,8.41062,1.40702,8.1438,4.3912,Category
187645,Star Wars: Rebellion,2016,8,8.42,8.172,25443,/boardgame/187645/star-wars-rebellion,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__micro/img/nEvTiCkWpT-ymH4bstc9c335TtQ=/fit-in/64x64/filters:strip_icc()/pic4325841.jpg,233078,115746,246900,233247,271896,169786,187645,Star Wars: Rebellion,2016.0,Thematic,"Fantasy Flight Games,ADC Blackfire Entertainment,Asmodee,Asterion Press,Delta Vision Publishing,Edge Entertainment,Galakta,Galápagos Jogos,Heidelberger Spieleverlag,Hobby World,Korea Boardgames Co., Ltd.",2.0,4.0,2.0,2.0,2.0,2.0,14.0,180.0,240.0,"Civil War,Miniatures,Movies / TV / Radio theme,Science Fiction,Space Exploration,Wargame","Area Majority / Influence,Area Movement,Area-Impulse,Card Play Conflict Resolution,Contracts,Delayed Purchase,Dice Rolling,Die Icon Resolution,Events,Hand Management,Hidden Movement,Income,Once-Per-Game Abilities,Tags,Take That,Team-Based Game,Variable Player Powers,Variable Set-up,Worker Placement, Different Worker Types","Category: Two players fighting games,Components: Map (Interplanetary or Interstellar scale),Components: Miniatures,Components: Standees,Movies: Star Wars",10.0,29972.0,8.41764,1.36821,8.16856,3.7366,Category
182028,Through the Ages: A New Story of Civilization,2015,9,8.39,8.152,25507,/boardgame/182028/through-ages-new-story-civilization,https://cf.geekdo-images.com/fVwPntkJKgaEo0rIC0RwpA__micro/img/77dZJpqtydc8TTecl0ReGF7iAVw=/fit-in/64x64/filters:strip_icc()/pic2663291.jpg,220308,120677,167791,224517,193738,169786,182028,Through the Ages: A New Story of Civilization,2015.0,Strategy Game,"Czech Games Edition,Cranio Creations,Devir,DiceTree Games,Eagle-Gryphon Games,GaGa Games,Gém Klub Kft.,HaKubia,HeidelBÄR Games,Heidelberger Spieleverlag,IELLO,MINDOK,New Games Order, LLC,One Moment Games,Rebel Sp. z o.o.",2.0,4.0,2.0,4.0,3.0,3.0,14.0,120.0,120.0,"Card Game,Civilization,Economic","Action Points,Auction/Bidding,Auction: Dutch,Events,Income,Open Drafting,Take That","Digital Implementations: Board Game Arena,Digital Implementations: Google Play,Digital Implementations: Steam,Game: Through the Ages,Historical Figures: Various,Mechanism: Tableau Building",13.0,29638.0,8.31631,1.51931,8.08888,4.4311,Digital Implementations
115746,War of the Ring: Second Edition,2012,10,8.51,8.133,15395,/boardgame/115746/war-ring-second-edition,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__micro/img/NT-Av_3kdYUcwuti5ocmIQXow3g=/fit-in/64x64/filters:strip_icc()/pic1215633.jpg,187645,175155,233078,362944,135219,283355,115746,War of the Ring: Second Edition,2011.0,"War Game,Thematic","Ares Games,Angry Lion Games,Devir,GaGa Games,Galakta,Geekach Games,Heidelberger Spieleverlag,Nuts! Publishing,Planplay,Red Glove,REXhry,Schwerkraft-Verlag,Sophisticated Games,Zhiyanjia",2.0,4.0,2.0,2.0,2.0,2.0,13.0,150.0,180.0,"Adventure,Fantasy,Fighting,Novel-based,Territory Building,Wargame","Action Drafting,Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Card Play Conflict Resolution,Dice Rolling,Events,Hand Management,Hidden Movement,Movement Points,Simulation,Team-Based Game,Variable Set-up","Authors: J.R.R. Tolkien,Components: Map (Continental / National scale),Components: Miniatures,Creatures: Monsters,Series: War of the Ring (Nexus/Ares Games)",9.0,19148.0,8.52857,1.48323,8.1713,4.2076,Authors
162886,Spirit Island,2017,11,8.36,8.13,31845,/boardgame/162886/spirit-island,https://cf.geekdo-images.com/a13ieMPP2s0KEaKNYmtH5w__micro/img/HQaHfx5cy6wJtZBMZCbVeNbfdy8=/fit-in/64x64/filters:strip_icc()/pic3615739.png,169786,316554,237182,329082,284653,361545,162886,Spirit Island,2017.0,Strategy Game,"Greater Than Games, LLC,Ace Studios,Arrakis Games,BoardM Factory,Engames,Fabled Nexus,Fox in the Box,Gém Klub Kft.,Ghenos Games,Hobby World,Intrafin Games,Lacerta,One Moment Games,Pegasus Spiele,REXhry,Siam Board Games",1.0,4.0,1.0,4.0,2.0,2.0,13.0,90.0,120.0,"Fantasy,Fighting,Mythology,Territory Building","Action Retrieval,Area Majority / Influence,Automatic Resource Growth,Campaign / Battle Card Driven,Cooperative Game,Hand Management,Modular Board,Set Collection,Simultaneous Action Selection,Solo / Solitaire Game,Tags,Variable Player Powers,Variable Set-up","Components: Control Boards,Components: Map (Continental / National scale),Components: Miniatures,Components: Wooden pieces & boards,Crowdfunding: Kickstarter,Digital Implementations: Google Play,Digital Implementations: Steam,Game: Spirit Island,Islands: Fictional,Players: Games with Solitaire Rules,Theme: Colonial",11.0,44328.0,8.35562,1.49768,8.15261,4.0629,Components
193738,Great Western Trail,2016,12,8.29,8.123,32814,/boardgame/193738/great-western-trail,https://cf.geekdo-images.com/u1l0gH7sb_vnvDvoO_QHqA__micro/img/xeShpQfbj4L1id-ItJbfIYVzgyA=/fit-in/64x64/filters:strip_icc()/pic4887376.jpg,126163,177736,216132,120677,124361,102794,193738,Great Western Trail,2016.0,Strategy Game,"eggertspiele,999 Games,Arclight Games,Broadway Toys LTD,Conclave Editora,Delta Vision Publishing,Ediciones MasQueOca,Gigamic,Korea Boardgames Co., Ltd.,Lacerta,Ludicus,MINDOK,Pegasus Spiele,Plan B Games,Stronghold Games,uplay.it edizioni,YOKA Games,Zvezda",2.0,4.0,2.0,4.0,3.0,3.0,12.0,75.0,150.0,"American West,Animals,Economic","Deck, Bag, and Pool Building,Hand Management,Ownership,Set Collection,Track Movement,Variable Set-up","Animals: Cattle / Cows,Cities: Kansas City (Missouri, USA),Components: Control Boards,Components: Wooden pieces & boards,Country: USA,Digital Implementations: Board Game Arena,Game: Great Western Trail,Mechanism: Tableau Building,Series: The Great Designers (Stronghold Games),States: Texas",15.0,38495.0,8.23164,1.29884,8.06697,3.704,Animals
